scenario,stage,expected_outcome,actual_outcome,affected_modules,fail_open_fail_closed,event_counts_by_stage,identity_authority_transitions,reason_codes,final_ui_order_reconciliation_state,test_evidence_artifact,semantic_hash_run1,semantic_hash_run2,deterministic_rerun_match,verdict,limitation
normal_fresh_market_no_signal,market_state_regime,fail_closed_or_explainable_outcome,NOT_RUNNABLE,market_state_regime,NOT_PROVEN,bounded_static_trace,NOT_PROVEN,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,612abaa1b2f5b8d8a5c2b1614b7a57376c24a21788a0c95e0373d3bf81865b68,612abaa1b2f5b8d8a5c2b1614b7a57376c24a21788a0c95e0373d3bf81865b68,True,NOT_RUNNABLE,requires full frozen feed fixture with production scheduler
normal_fresh_market_valid_signal,strategy_registry_execution,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,strategies/strategy_registry.py;strategies/movement/__init__.py,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,d97204b507b251453b975cc856737cd2a9f2c6ece9da92c76016b2d6d7840030,d97204b507b251453b975cc856737cd2a9f2c6ece9da92c76016b2d6d7840030,True,PARTIALLY_PROVEN,movement candidate generators can be invoked offline; full feed not replayed
valid_signal_rejected_by_tradebuilder,tradebuilder,fail_closed_or_explainable_outcome,NOT_PROVEN,strategies/trade_builder.py,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,tradebuilder_phase1_phase2_audit.md,e4e5cc981210a770a9dca0c0432f651a3cb75d5c57c2412fcffc8abb7c301504,e4e5cc981210a770a9dca0c0432f651a3cb75d5c57c2412fcffc8abb7c301504,True,NOT_PROVEN,TradeBuilder needs broad market context fixture
valid_signal_rejected_phase1,phase1_gates,fail_closed_or_explainable_outcome,NOT_PROVEN,phase1_gates,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,2b3919b7b0d75a2465b09f3373ac32731f277417356fe1189c46758a1749a607,2b3919b7b0d75a2465b09f3373ac32731f277417356fe1189c46758a1749a607,True,NOT_PROVEN,actual Phase 1 owner aliases require deeper fixture binding
valid_signal_rejected_phase2,phase2_gates,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,core/_engine_phase2_adapter_base.py;core/engine_phase2_adapter.py,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,tradebuilder_phase1_phase2_audit.md,0b47f9cc51166ca770e4c2ee2ce99e079043181cc57498fc8504e4825cf60901,0b47f9cc51166ca770e4c2ee2ce99e079043181cc57498fc8504e4825cf60901,True,PARTIALLY_PROVEN,phase2 adapter empty/malformed handling inspectable offline
valid_signal_downgraded_to_advisory,phase2_gates,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,core/_engine_phase2_adapter_base.py;core/engine_phase2_adapter.py,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,tradebuilder_phase1_phase2_audit.md,e2f07cd51e40881f3bb2e699f88d20a92b45bf09af3214e720339902f52fc6c6,e2f07cd51e40881f3bb2e699f88d20a92b45bf09af3214e720339902f52fc6c6,True,PARTIALLY_PROVEN,fallback/degraded fields are statically identified; full transition not replayed
duplicate_ticks,raw_event_ingestion,fail_closed_or_explainable_outcome,NOT_PROVEN,raw_event_ingestion,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,e677b050e0d5a2c1f608d5133f2da4891c55ea02f02a0540503cbfd35200cf29,e677b050e0d5a2c1f608d5133f2da4891c55ea02f02a0540503cbfd35200cf29,True,NOT_PROVEN,feed replay runner exists but not wired into v2 bounded scenario
out_of_order_ticks,raw_event_ingestion,fail_closed_or_explainable_outcome,NOT_PROVEN,raw_event_ingestion,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,273edcf8d88d87a636657d1449e1198406b90503492ecc70f34edab12cff17f5,273edcf8d88d87a636657d1449e1198406b90503492ecc70f34edab12cff17f5,True,NOT_PROVEN,requires production tick-store fixture
missing_tick_fields,raw_event_ingestion,fail_closed_or_explainable_outcome,NOT_PROVEN,raw_event_ingestion,NOT_PROVEN,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,4db85b51641084cd00c752c9646c790d0eab5640f63f429823971f8aa69112f7,4db85b51641084cd00c752c9646c790d0eab5640f63f429823971f8aa69112f7,True,NOT_PROVEN,requires feed callback fixture
connected_websocket_stale_data,broker_feed_connection,fail_closed_or_explainable_outcome,PARTIALLY_PROVEN,broker_feed_connection,fail_closed_or_bounded_by_existing_tests,bounded_static_trace,PARTIALLY_VERIFIED,see stage audit docs,no live order placed; dry/static outcome only,end_to_end_actual_pipeline_map.md,84db306b4c235350ca5b2c2dd91c614ab1973618238dbfb4d94fbdea631377ca,84db306b4c235350ca5b2c2dd91c614ab1973618238dbfb4d94fbdea631377ca,True,PARTIALLY_PROVEN,feed truth tests cover stale/blocked truth surfaces
