strategy_module,generator,active_registry_signal,registry_strategy_id,registry_callable,registry_module_path,direction_semantics,test_evidence,v2_verdict,gap
strategies/movement/compression_breakout.py,generate_compression_breakout_candidates,True,COMPRESSION_BREAKOUT,generate_compression_breakout_candidates,strategies/movement/compression_breakout.py,"BUY_CALL/BUY_PUT/NO_TRADE explicit; BUY is execution side, not automatically bullish",SEMANTIC_UNIT_TEST,PARTIALLY_VERIFIED,generator represented; full feed-to-builder integration not replayed in v2
strategies/movement/event_volatility_expansion.py,generate_event_volatility_expansion_candidates,True,EVENT_VOLATILITY_EXPANSION,generate_event_volatility_expansion_candidates,strategies/movement/event_volatility_expansion.py,"BUY_CALL/BUY_PUT/NO_TRADE explicit; BUY is execution side, not automatically bullish",SEMANTIC_UNIT_TEST,PARTIALLY_VERIFIED,generator represented; full feed-to-builder integration not replayed in v2
strategies/movement/exhaustion_reversal.py,generate_exhaustion_reversal_candidates,True,EXHAUSTION_REVERSAL,generate_exhaustion_reversal_candidates,strategies/movement/exhaustion_reversal.py,"BUY_CALL/BUY_PUT/NO_TRADE explicit; BUY is execution side, not automatically bullish",SEMANTIC_UNIT_TEST,PARTIALLY_VERIFIED,generator represented; full feed-to-builder integration not replayed in v2
strategies/movement/failed_breakout_trap.py,generate_failed_breakout_trap_candidates,True,FAILED_BREAKOUT_TRAP,generate_failed_breakout_trap_candidates,strategies/movement/failed_breakout_trap.py,"BUY_CALL/BUY_PUT/NO_TRADE explicit; BUY is execution side, not automatically bullish",SEMANTIC_UNIT_TEST,PARTIALLY_VERIFIED,generator represented; full feed-to-builder integration not replayed in v2
strategies/movement/late_day_momentum.py,generate_late_day_momentum_candidates,True,LATE_DAY_MOMENTUM,generate_late_day_momentum_candidates,strategies/movement/late_day_momentum.py,"BUY_CALL/BUY_PUT/NO_TRADE explicit; BUY is execution side, not automatically bullish",SEMANTIC_UNIT_TEST,PARTIALLY_VERIFIED,generator represented; full feed-to-builder integration not replayed in v2
strategies/movement/mean_reversion_extension.py,generate_mean_reversion_extension_candidates,True,MEAN_REVERSION_EXTENSION,generate_mean_reversion_extension_candidates,strategies/movement/mean_reversion_extension.py,"BUY_CALL/BUY_PUT/NO_TRADE explicit; BUY is execution side, not automatically bullish",SEMANTIC_UNIT_TEST,PARTIALLY_VERIFIED,generator represented; full feed-to-builder integration not replayed in v2
strategies/movement/no_trade_chop.py,generate_no_trade_candidates,True,NO_TRADE_CHOP,generate_no_trade_chop_candidates,strategies/movement/no_trade_chop.py,"BUY_CALL/BUY_PUT/NO_TRADE explicit; BUY is execution side, not automatically bullish",SEMANTIC_UNIT_TEST,PARTIALLY_VERIFIED,generator represented; full feed-to-builder integration not replayed in v2
strategies/movement/opening_drive.py,generate_opening_drive_candidates,True,OPENING_DRIVE,generate_opening_drive_candidates,strategies/movement/opening_drive.py,"BUY_CALL/BUY_PUT/NO_TRADE explicit; BUY is execution side, not automatically bullish",SEMANTIC_UNIT_TEST,PARTIALLY_VERIFIED,generator represented; full feed-to-builder integration not replayed in v2
strategies/movement/opening_range_breakout.py,generate_opening_range_retest_candidates,True,OPENING_RANGE_BREAKOUT,generate_opening_range_breakout_candidates,strategies/movement/opening_range_breakout.py,"BUY_CALL/BUY_PUT/NO_TRADE explicit; BUY is execution side, not automatically bullish",SEMANTIC_UNIT_TEST,PARTIALLY_VERIFIED,generator represented; full feed-to-builder integration not replayed in v2
strategies/movement/option_pressure.py,generate_option_pressure_candidates,True,OPTION_PRESSURE,generate_option_pressure_candidates,strategies/movement/option_pressure.py,"BUY_CALL/BUY_PUT/NO_TRADE explicit; BUY is execution side, not automatically bullish",SEMANTIC_UNIT_TEST,PARTIALLY_VERIFIED,generator represented; full feed-to-builder integration not replayed in v2
strategies/movement/trend_pullback.py,generate_trend_pullback_candidates,True,TREND_PULLBACK,generate_trend_pullback_candidates,strategies/movement/trend_pullback.py,"BUY_CALL/BUY_PUT/NO_TRADE explicit; BUY is execution side, not automatically bullish",SEMANTIC_UNIT_TEST,PARTIALLY_VERIFIED,generator represented; full feed-to-builder integration not replayed in v2
strategies/movement/vwap_reclaim.py,generate_vwap_reclaim_rejection_candidates,True,VWAP_RECLAIM,generate_vwap_reclaim_candidates,strategies/movement/vwap_reclaim.py,"BUY_CALL/BUY_PUT/NO_TRADE explicit; BUY is execution side, not automatically bullish",SEMANTIC_UNIT_TEST,PARTIALLY_VERIFIED,generator represented; full feed-to-builder integration not replayed in v2
