test_node_id,test_file,failure_signature,affected_component,migration_slice_origin,failure_class,candidate_caused,pre_existing,environmental,stale_test_expectation,architecture_contract,required_action,root_cause_group
test_runtime_health_prefers_persisted_snapshot_hash_over_stale_debug,tests/test_runtime_health_snapshot_authority.py,canonical fixture rejected and hash absent,runtime health,M9,STALE_TEST_EXPECTATION,false,false,false,true,canonical runtime requires identity/schema/hash,update fixture in separate approved test task,runtime canonical fixture contract
test_runtime_health_does_not_verify_in_memory_hash_against_empty_persisted_snapshot,tests/test_runtime_health_snapshot_authority.py,invalid empty artifact produces expected hash metadata,runtime health,M9,STALE_TEST_EXPECTATION,false,false,false,true,invalid artifact must fail closed,update expectation/fixture without raw fallback,runtime canonical fixture contract
test_runtime_health_still_fails_closed_for_persisted_missing_hash,tests/test_runtime_health_snapshot_authority.py,fixture lacks canonical required fields before missing-hash assertion,runtime health,M9,STALE_TEST_EXPECTATION,false,false,false,true,loader rejects malformed artifact,repair test fixture contract,runtime canonical fixture contract
test_build_candidates_phase2_applies_hard_filters,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact returns empty,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,Phase2 must consume canonical currentness,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_aggregates_invalid_candidate_logging,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact returns empty,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,Phase2 must consume canonical currentness,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_run_engine_phase2_enters_top_ranked_candidate,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_run_engine_phase2_replace_and_hold_are_state_driven,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_run_engine_phase2_watchlist_and_no_trade_paths,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_uses_dynamic_spread_threshold,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_run_engine_phase2_selected_payload_has_symbol_and_score,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_skips_invalid_symbol_candidate,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_warns_when_empty_after_filtering,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks before filter logging,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_time_of_day_spread_multiplier,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_run_engine_phase2_clears_stale_active_trade,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
test_build_candidates_phase2_applies_data_fallback_defaults,tests/test_engine_phase2_adapter.py,missing current canonical feed artifact blocks,Phase2,M9,STALE_TEST_EXPECTATION,false,false,false,true,fail closed without current feed,provide valid canonical fixture in separate test update,Phase2 canonical fixture contract
