module_id,path,extension,size_bytes,line_count,complexity_indicators,primary_responsibility,public_symbols,callers,dependencies,input_contracts,output_contracts,state_owned_or_mutated,side_effects,runtime_criticality,row_surface,test_coverage,test_quality,duplication_or_overlap,status
.agents:rules:tradebot-evidence-authority.md,.agents/rules/tradebot-evidence-authority.md,.md,1059,10,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",observability,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,low,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
.agents:skills:audit-causal-candidate:SKILL.md,.agents/skills/audit-causal-candidate/SKILL.md,.md,1367,24,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",observability,,,,contract,contract,module_assignments:0,none_detected_by_static_scan,low,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,same_stem:.agents/skills/verify-research-handoff/SKILL.md|many_same_stage_modules,unknown
.agents:skills:verify-research-handoff:SKILL.md,.agents/skills/verify-research-handoff/SKILL.md,.md,1378,34,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",observability,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,low,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,same_stem:.agents/skills/audit-causal-candidate/SKILL.md|many_same_stage_modules,unknown
.agents:workflows:verify-research-gates.md,.agents/workflows/verify-research-gates.md,.md,845,12,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",observability,,,,contract;validate,contract;validate,module_assignments:0,none_detected_by_static_scan,low,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
.github:ISSUE_TEMPLATE:bug_report.md,.github/ISSUE_TEMPLATE/bug_report.md,.md,1111,61,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",broker_execution_handoff,,,,contract,contract,module_assignments:0,none_detected_by_static_scan,low,yes,covered_by:1,"semantic_signals:stale,determin",many_same_stage_modules,unknown
.github:ISSUE_TEMPLATE:feature_request.md,.github/ISSUE_TEMPLATE/feature_request.md,.md,1184,56,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",feed_ingestion_or_freshness,,,,contract,contract,module_assignments:0,none_detected_by_static_scan,high,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
.github:ISSUE_TEMPLATE:security_report.md,.github/ISSUE_TEMPLATE/security_report.md,.md,1154,56,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",broker_execution_handoff,,,,contract,contract,module_assignments:0,none_detected_by_static_scan,low,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,same_stem:research/local_evidence_consolidation_v1/external_local_dirs/tradebot-ml-evidence/upstox-expired-options-v1/reports/security_report.md|many_same_stage_modules,unknown
.github:pull_request_template.md,.github/pull_request_template.md,.md,3416,122,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",feed_ingestion_or_freshness,,,,contract,contract,module_assignments:0,ui_render,high,yes,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
.github:workflows:agent-review-gate.yml,.github/workflows/agent-review-gate.yml,.yml,692,26,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",option_chain_or_quote,,,,validate,validate,module_assignments:0,none_detected_by_static_scan,high,no,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
.github:workflows:agentic-qa-evidence-auditor.yml,.github/workflows/agentic-qa-evidence-auditor.yml,.yml,2934,74,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",observability,,,,dataclass,dataclass,module_assignments:0,none_detected_by_static_scan,low,no,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
.github:workflows:agentic-research-integration.yml,.github/workflows/agentic-research-integration.yml,.yml,5087,127,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",broker_execution_handoff,,,,dataclass,dataclass,module_assignments:0,broker_or_market_adapter;sqlite,low,no,covered_by:0,NO_DIRECT_TEST_DETECTED,many_same_stage_modules,unknown
.github:workflows:ci.yml,.github/workflows/ci.yml,.yml,2543,94,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",feed_ingestion_or_freshness,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,high,yes,covered_by:455,"semantic_signals:stale,fallback,duplicate,malformed,determin,rank",many_same_stage_modules,unknown
.github:workflows:code-excellence-gates.yml,.github/workflows/code-excellence-gates.yml,.yml,2173,71,"{""classes"": 0, ""functions"": 0, ""imports"": 0, ""parse_error"": false}",option_chain_or_quote,,,,input_contract_not_explicit_in_static_scan,output_contract_not_explicit_in_static_scan,module_assignments:0,none_detected_by_static_scan,high,no,covered_by:1,shape_or_smoke_only_static_signal,many_same_stage_modules,unknown
