file,function_or_symbol,artifact_or_field,consumer_type,authoritative,uses_canonical_loader,classification,decision_or_health_effect,required_change,reason
core/orchestrator.py,_pilot_feed_ok,feed_runtime/feed_ok,orchestrator,true,true,CANONICAL_VALIDATED,cycle feed admission,none,raw runtime health input removed
core/orchestrator.py,workload telemetry,feed_runtime,observability,false,true,DIAGNOSTIC_ONLY,telemetry only,none,invalid artifact becomes empty payload
core/review_queue.py,_runtime_feed_status_snapshot,feed_runtime/feed_ok,review health,true,true,CANONICAL_VALIDATED,visibility health,none,canonical loader required
core/runtime_snapshot_producer.py,produce_and_store_runtime_snapshots,feed_runtime,health snapshot,true,true,CANONICAL_VALIDATED,runtime health,none,invalid canonical input fails closed
core/orchestrator_helpers.py,_read_latest_feed_runtime_payload,feed_runtime,cycle consumer,true,true,CANONICAL_WRAPPER,cycle inputs,none,delegates to canonical loader
core/engine_phase2_adapter.py,build_candidates_phase2,feed_runtime/feed_ok,phase2 gate,true,true,CANONICAL_VALIDATED,candidate admission,none,validated payload
core/runtime_health.py,get_runtime_health,feed_runtime,health truth,true,true,CANONICAL_VALIDATED,health,none,validated payload preferred
core/readiness_gate.py,_load_fresh_feed_runtime_snapshot,feed_runtime,readiness,true,true,CANONICAL_VALIDATED,readiness,none,invalid artifact blocks
core/kite_depth_ws.py,_latest_feed_runtime_truth_snapshot,feed_runtime,unused helper,false,false,NON_RUNTIME_TOOLING,no decision effect,none,no callers
core/ws_status_provenance_report.py,report builder,runtime/feed,diagnostic,false,false,DIAGNOSTIC_ONLY,no authority effect,none,forensic report
core/feed_startup_root_cause_report.py,report builder,runtime/feed,diagnostic,false,false,DIAGNOSTIC_ONLY,no authority effect,none,root-cause report
core/runtime_truth_breakdown.py,build report,runtime/feed,diagnostic,false,false,DIAGNOSTIC_ONLY,no authority effect,none,breakdown report
core/incident_bundle.py,build bundle,feed_runtime,evidence,false,false,DIAGNOSTIC_ONLY,no authority effect,none,evidence collection
core/evidence_replay_report.py,build report,feed_runtime,replay tooling,false,false,NON_RUNTIME_TOOLING,no live authority effect,none,replay report
core/feed/artifact_loader.py,load_current_feed_runtime,run/boot/epoch/hash/lineage,canonical validator,true,true,CANONICAL_VALIDATED,sole currentness authority,none,canonical implementation
UNKNOWN_RELEVANT_PATHS,,-,-,-,-,0,-,-,all discovered paths classified
