lifecycle_stage,module,callable_class,runtime_reachability,responsibility,input_contract,output_contract,identities_read_written,fields_read,fields_added_changed_removed,authority_effect,current_fallback_mode,fail_open_fail_closed,exception_behaviour,concurrency_state_risk,observability,current_test_evidence,verified_defect_or_gap,evidence_reference,severity,confidence,recommended_fix,justification,expected_benefit,behavioural_change_if_fixed,possible_adverse_effect,compatibility_risk,migration_requirement,rollback_approach,tests_required_before_change,acceptance_criteria,suggested_owner_workstream,implementation_order,dependencies_blockers
phase2_gates,core/_engine_phase2_adapter_base.py,safe_get,REACHABLE_OR_CONDITIONALLY_REACHABLE,phase2_gates,dataclass;to_dict;validate;contract,dataclass;to_dict;validate;contract,trade_id;token;symbol,detected,detected,executable_or_risk_authority,fallback;degraded;stale,fail_closed_or_rejecting_paths_detected,exceptions_logged_or_recorded,lock;queue,logger;reason,SEMANTIC_UNIT_TEST,Phase 2 mutates candidate dictionaries and uses fallback/soft penalty fields; full reason preservation is only partially proven.,research/module_robustness_ranking_audit_v1/tradebuilder_phase1_phase2_audit.md,P1,medium,Add lifecycle trace observer and fault-injection tests for phase2_gates before production fixes.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,"phase2_gates may emit stricter reason codes, reject/downgrade more rows, or require explicit identity fields.",Stricter gates can reduce apparent opportunity count or change UI/actionability.,medium,schema/version and test-fixture update,keep new evidence fields read-only; disable actionability changes behind config until certified,hard reject/soft downgrade/reason preservation/fallback authority tests,"phase2_gates emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",phase2_gates,1,requires frozen fixture and semantic hash baseline
phase2_gates,core/_engine_phase2_adapter_base.py,validate_candidate,REACHABLE_OR_CONDITIONALLY_REACHABLE,phase2_gates,dataclass;to_dict;validate;contract,dataclass;to_dict;validate;contract,trade_id;token;symbol,detected,detected,executable_or_risk_authority,fallback;degraded;stale,fail_closed_or_rejecting_paths_detected,exceptions_logged_or_recorded,lock;queue,logger;reason,SEMANTIC_UNIT_TEST,Phase 2 mutates candidate dictionaries and uses fallback/soft penalty fields; full reason preservation is only partially proven.,research/module_robustness_ranking_audit_v1/tradebuilder_phase1_phase2_audit.md,P1,medium,Add lifecycle trace observer and fault-injection tests for phase2_gates before production fixes.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,"phase2_gates may emit stricter reason codes, reject/downgrade more rows, or require explicit identity fields.",Stricter gates can reduce apparent opportunity count or change UI/actionability.,medium,schema/version and test-fixture update,keep new evidence fields read-only; disable actionability changes behind config until certified,hard reject/soft downgrade/reason preservation/fallback authority tests,"phase2_gates emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",phase2_gates,2,requires frozen fixture and semantic hash baseline
phase2_gates,core/_engine_phase2_adapter_base.py,build_candidates_phase2,REACHABLE_OR_CONDITIONALLY_REACHABLE,phase2_gates,dataclass;to_dict;validate;contract,dataclass;to_dict;validate;contract,trade_id;token;symbol,detected,detected,executable_or_risk_authority,fallback;degraded;stale,fail_closed_or_rejecting_paths_detected,exceptions_logged_or_recorded,lock;queue,logger;reason,SEMANTIC_UNIT_TEST,Phase 2 mutates candidate dictionaries and uses fallback/soft penalty fields; full reason preservation is only partially proven.,research/module_robustness_ranking_audit_v1/tradebuilder_phase1_phase2_audit.md,P1,medium,Add lifecycle trace observer and fault-injection tests for phase2_gates before production fixes.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,"phase2_gates may emit stricter reason codes, reject/downgrade more rows, or require explicit identity fields.",Stricter gates can reduce apparent opportunity count or change UI/actionability.,medium,schema/version and test-fixture update,keep new evidence fields read-only; disable actionability changes behind config until certified,hard reject/soft downgrade/reason preservation/fallback authority tests,"phase2_gates emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",phase2_gates,3,requires frozen fixture and semantic hash baseline
phase2_gates,core/_engine_phase2_adapter_base.py,run_engine_phase2,REACHABLE_OR_CONDITIONALLY_REACHABLE,phase2_gates,dataclass;to_dict;validate;contract,dataclass;to_dict;validate;contract,trade_id;token;symbol,detected,detected,executable_or_risk_authority,fallback;degraded;stale,fail_closed_or_rejecting_paths_detected,exceptions_logged_or_recorded,lock;queue,logger;reason,SEMANTIC_UNIT_TEST,Phase 2 mutates candidate dictionaries and uses fallback/soft penalty fields; full reason preservation is only partially proven.,research/module_robustness_ranking_audit_v1/tradebuilder_phase1_phase2_audit.md,P1,medium,Add lifecycle trace observer and fault-injection tests for phase2_gates before production fixes.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,"phase2_gates may emit stricter reason codes, reject/downgrade more rows, or require explicit identity fields.",Stricter gates can reduce apparent opportunity count or change UI/actionability.,medium,schema/version and test-fixture update,keep new evidence fields read-only; disable actionability changes behind config until certified,hard reject/soft downgrade/reason preservation/fallback authority tests,"phase2_gates emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",phase2_gates,4,requires frozen fixture and semantic hash baseline
risk_liquidity_executable_truth,core/adaptive_risk.py,compute_multiplier,REACHABLE_OR_CONDITIONALLY_REACHABLE,risk_liquidity_executable_truth,input_contract_implicit_or_dict_based,output_contract_implicit_or_dict_based,identity_not_explicit_in_static_scan,not_detected,not_detected,evidence_or_transform_only,none_detected,not_verified,no_local_exception_handling_detected,low_static_signal,weak_static_signal,SHAPE_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"risk_liquidity_executable_truth emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",risk_liquidity_executable_truth,5,none
risk_liquidity_executable_truth,core/adaptive_risk.py,write_status,REACHABLE_OR_CONDITIONALLY_REACHABLE,risk_liquidity_executable_truth,input_contract_implicit_or_dict_based,output_contract_implicit_or_dict_based,identity_not_explicit_in_static_scan,not_detected,not_detected,evidence_or_transform_only,none_detected,not_verified,no_local_exception_handling_detected,low_static_signal,weak_static_signal,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"risk_liquidity_executable_truth emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",risk_liquidity_executable_truth,6,none
ui_manual_approval,core/agent_approval.py,AgentApprovalDecision,REACHABLE_OR_CONDITIONALLY_REACHABLE,ui_manual_approval,dataclass;schema_version;to_dict;contract,dataclass;schema_version;to_dict;contract,identity_not_explicit_in_static_scan,not_detected,detected,approval_authority,none_detected,fail_closed_or_rejecting_paths_detected,no_local_exception_handling_detected,lock,reason,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,rank binding/stale approval/duplicate click/fallback non-actionability tests,"ui_manual_approval emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",ui_manual_approval,7,none
ui_manual_approval,core/agent_approval.py,approve_agent_scope,REACHABLE_OR_CONDITIONALLY_REACHABLE,ui_manual_approval,dataclass;schema_version;to_dict;contract,dataclass;schema_version;to_dict;contract,identity_not_explicit_in_static_scan,not_detected,detected,approval_authority,none_detected,fail_closed_or_rejecting_paths_detected,no_local_exception_handling_detected,lock,reason,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,rank binding/stale approval/duplicate click/fallback non-actionability tests,"ui_manual_approval emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",ui_manual_approval,8,none
orchestration,core/agent_orchestrator.py,AgentReviewStage,REACHABLE_OR_CONDITIONALLY_REACHABLE,orchestration,dataclass;schema_version;to_dict;validate;contract,dataclass;schema_version;to_dict;validate;contract,identity_not_explicit_in_static_scan,detected,detected,approval_authority,none_detected,fail_closed_or_rejecting_paths_detected,no_local_exception_handling_detected,lock,reason,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"orchestration emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",orchestration,9,none
orchestration,core/agent_orchestrator.py,AgentReviewDecision,REACHABLE_OR_CONDITIONALLY_REACHABLE,orchestration,dataclass;schema_version;to_dict;validate;contract,dataclass;schema_version;to_dict;validate;contract,identity_not_explicit_in_static_scan,detected,detected,approval_authority,none_detected,fail_closed_or_rejecting_paths_detected,no_local_exception_handling_detected,lock,reason,SEMANTIC_UNIT_TEST,No specific defect proven by v2; retain coverage in lifecycle regression suite.,research/module_robustness_ranking_audit_v1/runtime_module_inventory.csv,P3,low,Keep in inventory; no immediate runtime fix from v2 evidence.,"Required to prove one live market event can traverse the lifecycle without silent loss, mutation, authority bypass, or stale-data contamination.",Traceable lifecycle evidence and safer staged repair PRs.,none expected,Stricter gates can reduce apparent opportunity count or change UI/actionability.,low,none,keep new evidence fields read-only; disable actionability changes behind config until certified,happy/malformed/stale/exception/determinism tests,"orchestration emits trace events with stable identity, authority before/after, reason codes, and deterministic semantic hash across two runs.",orchestration,10,none
